Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,1,3,0,0,5,0,"('zhivargo mcbride', 'person')","('alien smuggling with death resulting', 'smuggled_items'); ('indictment', 'organization'); ('second degree murder', 'smuggled_items')",,,"('alien smuggling with death resulting', 'indictment'); ('alien smuggling with death resulting', 'zhivargo mcbride'); ('indictment', 'second degree murder'); ('indictment', 'zhivargo mcbride'); ('second degree murder', 'zhivargo mcbride')",
2,2,0,0,1,0,0,"('captives', 'person'); ('defendants', 'person')",,,"('captives', 'defendants')",,
3,3,0,2,3,0,2,"('sheriff's deputies', 'person'); ('swami's beach', 'location'); ('u.s. border patrol agents', 'person')",,"('sheriff's department', 'organization'); ('u.s. border patrol', 'organization')","('sheriff's deputies', 'swami's beach'); ('sheriff's deputies', 'u.s. border patrol agents'); ('swami's beach', 'u.s. border patrol agents')",,"('sheriff's department', 'sheriff's deputies'); ('u.s. border patrol', 'u.s. border patrol agents')"
4,3,2,1,2,6,3,"('la moca ranch', 'location'); ('laredo south station', 'location'); ('ranch hand', 'person')","('border patrol agents', 'person'); ('undocumented female alien', 'person')","('aliens', 'person')","('la moca ranch', 'ranch hand'); ('laredo south station', 'ranch hand')","('border patrol agents', 'la moca ranch'); ('border patrol agents', 'laredo south station'); ('border patrol agents', 'ranch hand'); ('border patrol agents', 'undocumented female alien'); ('la moca ranch', 'undocumented female alien'); ('ranch hand', 'undocumented female alien')","('aliens', 'la moca ranch'); ('aliens', 'ranch hand'); ('la moca ranch', 'laredo south station')"
5,3,1,1,3,3,3,"('china', 'location'); ('guatemala', 'location'); ('ship', 'means_of_transportation')","('feng mei chen', 'person')","('fu mei chen', 'person')","('china', 'guatemala'); ('china', 'ship'); ('guatemala', 'ship')","('china', 'feng mei chen'); ('feng mei chen', 'guatemala'); ('feng mei chen', 'ship')","('china', 'fu mei chen'); ('fu mei chen', 'guatemala'); ('fu mei chen', 'ship')"
6,1,1,1,0,1,1,"('aliens', 'person')","('man', 'person')","('allende-garcia', 'person')",,"('aliens', 'man')","('aliens', 'allende-garcia')"
7,4,0,0,3,3,0,"('cars', 'means_of_transportation'); ('co-defendants', 'person'); ('defendant', 'person'); ('individuals', 'person')",,,"('cars', 'individuals'); ('co-defendants', 'individuals'); ('defendant', 'individuals')","('cars', 'co-defendants'); ('cars', 'defendant'); ('co-defendants', 'defendant')",
8,0,5,2,0,6,1,,"('child', 'person'); ('defendant', 'person'); ('mexican birth certificate', 'smuggled_items'); ('mother', 'person'); ('port of entry', 'location')","('child's real mother', 'person'); ('defendant's sister', 'person')",,"('child', 'defendant'); ('child', 'mother'); ('defendant', 'mother'); ('mexican birth certificate', 'mother'); ('mexican birth certificate', 'port of entry'); ('mother', 'port of entry')","('child's real mother', 'defendant's sister')"
9,4,0,0,5,0,1,"('hernandez-lopez', 'person'); ('mexico', 'location'); ('united states', 'location'); ('unnamed person', 'person')",,,"('hernandez-lopez', 'mexico'); ('hernandez-lopez', 'united states'); ('hernandez-lopez', 'unnamed person'); ('mexico', 'united states'); ('mexico', 'unnamed person')",,"('united states', 'unnamed person')"
10,2,0,0,1,0,0,"('i-35', 'routes'); ('truck', 'means_of_transportation')",,,"('i-35', 'truck')",,
