Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,1,1,0,0,1,0,"('zhivargo mcbride', 'person')","('indictment', 'document')",,,"('indictment', 'zhivargo mcbride')",
2,2,0,0,1,0,0,"('captives', 'person'); ('defendants', 'person')",,,"('captives', 'defendants')",,
3,3,0,2,2,0,3,"('sheriff's deputies', 'person'); ('swami's beach', 'location'); ('u.s. border patrol agents', 'person')",,"('sheriff's department', 'organization'); ('u.s. border patrol', 'organization')","('sheriff's deputies', 'swami's beach'); ('swami's beach', 'u.s. border patrol agents')",,"('sheriff's department', 'sheriff's deputies'); ('sheriff's deputies', 'u.s. border patrol agents'); ('u.s. border patrol', 'u.s. border patrol agents')"
4,3,2,1,1,6,4,"('la moca ranch', 'location'); ('laredo south station', 'location'); ('ranch hand', 'person')","('border patrol agents', 'person'); ('undocumented female alien', 'person')","('aliens', 'person')","('la moca ranch', 'ranch hand')","('border patrol agents', 'la moca ranch'); ('border patrol agents', 'laredo south station'); ('border patrol agents', 'ranch hand'); ('border patrol agents', 'undocumented female alien'); ('la moca ranch', 'undocumented female alien'); ('ranch hand', 'undocumented female alien')","('aliens', 'la moca ranch'); ('aliens', 'ranch hand'); ('la moca ranch', 'laredo south station'); ('laredo south station', 'ranch hand')"
5,4,0,0,6,0,0,"('china', 'location'); ('fu mei chen', 'person'); ('guatemala', 'location'); ('ship', 'means_of_transportation')",,,"('china', 'fu mei chen'); ('china', 'guatemala'); ('china', 'ship'); ('fu mei chen', 'guatemala'); ('fu mei chen', 'ship'); ('guatemala', 'ship')",,
6,1,1,1,0,1,1,"('aliens', 'person')","('man', 'person')","('allende-garcia', 'person')",,"('aliens', 'man')","('aliens', 'allende-garcia')"
7,4,0,0,3,3,0,"('cars', 'means_of_transportation'); ('co-defendants', 'person'); ('defendant', 'person'); ('individuals', 'person')",,,"('cars', 'individuals'); ('co-defendants', 'individuals'); ('defendant', 'individuals')","('cars', 'co-defendants'); ('cars', 'defendant'); ('co-defendants', 'defendant')",
8,1,3,1,0,5,1,"('child's real mother', 'person')","('defendant', 'person'); ('mexican birth certificate', 'document'); ('port of entry', 'location')","('defendant's sister', 'person')",,"('child's real mother', 'defendant'); ('child's real mother', 'mexican birth certificate'); ('child's real mother', 'port of entry'); ('defendant', 'port of entry'); ('mexican birth certificate', 'port of entry')","('child's real mother', 'defendant's sister')"
9,4,0,0,5,0,1,"('hernandez-lopez', 'person'); ('mexico', 'location'); ('united states', 'location'); ('unnamed person', 'person')",,,"('hernandez-lopez', 'mexico'); ('hernandez-lopez', 'united states'); ('hernandez-lopez', 'unnamed person'); ('mexico', 'united states'); ('mexico', 'unnamed person')",,"('united states', 'unnamed person')"
10,2,0,0,1,0,0,"('i-35', 'routes'); ('truck', 'means_of_transportation')",,,"('i-35', 'truck')",,
11,1,2,2,0,3,3,"('united states', 'location')","('yang', 'person'); ('yang's family', 'person')","('mr. yang', 'person'); ('mr. yang's family', 'person')",,"('united states', 'yang'); ('united states', 'yang's family'); ('yang', 'yang's family')","('mr. yang', 'mr. yang's family'); ('mr. yang', 'united states'); ('mr. yang's family', 'united states')"
12,2,1,1,1,2,2,"('garcia', 'person'); ('san antonio', 'location')","('group', 'person')","('aliens', 'person')","('garcia', 'san antonio')","('garcia', 'group'); ('group', 'san antonio')","('aliens', 'garcia'); ('aliens', 'san antonio')"
13,1,2,1,1,2,0,"('house', 'location')","('gun', 'means_of_transportation'); ('individual', 'person')","('gun', 'smuggled_items')","('gun', 'house')","('gun', 'individual'); ('house', 'individual')",
