Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,1,0,0,0,0,0,"('zhivargo mcbride', 'person')",,,,,
2,2,0,0,1,0,0,"('captives', 'person'); ('defendants', 'person')",,,"('captives', 'defendants')",,
3,4,1,1,2,2,3,"('sheriff's deputies', 'person'); ('swami's beach', 'location'); ('u.s. border patrol', 'organization'); ('u.s. border patrol agents', 'person')","('swheriff's deput', 'organization')","('sheriff's department', 'organization')","('swami's beach', 'u.s. border patrol agents'); ('u.s. border patrol', 'u.s. border patrol agents')","('sheriff's deputies', 'swheriff's department'); ('sheriff's deputies', 'uami's beach')","('sheriff's department', 'sheriff's deputies'); ('sheriff's deputies', 'swami's beach'); ('sheriff's deputies', 'u.s. border patrol agents')"
4,0,3,4,1,2,4,,"('banch hand', 'person'); ('laredo south station', 'org'); ('unen', 'person')","('aliens', 'person'); ('la moca ranch', 'location'); ('laredo south station', 'location'); ('ranch hand', 'person')","('aliens', 'ranch hand')","('aliaredo south station', 'la moca ranch'); ('aliaredo south station', 'ranch hand')","('aliens', 'la moca ranch'); ('la moca ranch', 'laredo south station'); ('la moca ranch', 'ranch hand'); ('laredo south station', 'ranch hand')"
5,2,2,2,6,0,0,"('china', 'location'); ('guatemala', 'location')","('ch', 'means_of_transportation'); ('f mei chen', 'person')","('fu mei chen', 'person'); ('ship', 'means_of_transportation')","('china', 'fu mei chen'); ('china', 'guatemala'); ('china', 'ship'); ('fu mei chen', 'guatemala'); ('fu mei chen', 'ship'); ('guatemala', 'ship')",,
6,1,0,1,1,0,0,"('aliens', 'person')",,"('allende-garcia', 'person')","('aliens', 'allende-garcia')",,
7,4,0,0,0,3,3,"('cars', 'means_of_transportation'); ('co-defendants', 'person'); ('defendant', 'person'); ('individuals', 'person')",,,,"('cars', 'defividuals'); ('coividuals', 'defendant'); ('def-defendants', 'individuals')","('cars', 'individuals'); ('co-defendants', 'individuals'); ('defendant', 'individuals')"
8,1,1,1,0,0,1,"('child's real mother', 'person')","('child's real mother', 'defendant's sister')","('defendant's sister', 'person')",,,"('child's real mother', 'defendant's sister')"
9,4,0,0,5,1,1,"('hernandez-lopez', 'person'); ('mexico', 'location'); ('united states', 'location'); ('unnamed person', 'person')",,,"('hernandez-lopez', 'mexico'); ('hernandez-lopez', 'united states'); ('hernandez-lopez', 'unnamed person'); ('mexico', 'united states'); ('mexico', 'unnamed person')","('mnamed person', 'united states')","('united states', 'unnamed person')"
10,2,0,0,0,0,1,"('i-35', 'routes'); ('truck', 'means_of_transportation')",,,,,"('i-35', 'truck')"
11,2,1,1,3,0,0,"('mr. yang', 'person'); ('united states', 'location')","('mr. yang', 'family')","('mr. yang's family', 'person')","('mr. yang', 'mr. yang's family'); ('mr. yang', 'united states'); ('mr. yang's family', 'united states')",,
12,2,1,1,2,0,1,"('garcia', 'person'); ('san antonio', 'location')","('groupens', 'person')","('aliens', 'person')","('aliens', 'garcia'); ('garcia', 'san antonio')",,"('aliens', 'san antonio')"
13,1,1,1,0,0,1,"('house', 'location')","('house', 'gun')","('gun', 'smuggled_items')",,,"('gun', 'house')"
14,5,0,0,9,0,1,"('abraham esqueda', 'person'); ('interstate highway 35', 'routes'); ('laredo', 'location'); ('san antonio', 'location'); ('victor barberena', 'person')",,,"('abraham esqueda', 'interstate highway 35'); ('abraham esqueda', 'laredo'); ('abraham esqueda', 'san antonio'); ('abraham esqueda', 'victor barberena'); ('interstate highway 35', 'laredo'); ('interstate highway 35', 'san antonio'); ('interstate highway 35', 'victor barberena'); ('laredo', 'victor barberena'); ('san antonio', 'victor barberena')",,"('laredo', 'san antonio')"
15,3,1,2,6,0,4,"('border patrol agents', 'person'); ('commercial gravel pit', 'location'); ('mines road', 'routes')","('1982 ford f-150', 'ended cab pickup truck')","('1982 ford f-150 extended cab pickup truck', 'means_of_transportation'); ('laredo, texas', 'location')","('1982 ford f-150 extended cab pickup truck', 'border patrol agents'); ('border patrol agents', 'laredo, texas'); ('border patrol agents', 'mines road'); ('commercial gravel pit', 'laredo, texas'); ('commercial gravel pit', 'mines road'); ('laredo, texas', 'mines road')",,"('1982 ford f-150 extended cab pickup truck', 'commercial gravel pit'); ('1982 ford f-150 extended cab pickup truck', 'laredo, texas'); ('1982 ford f-150 extended cab pickup truck', 'mines road'); ('border patrol agents', 'commercial gravel pit')"
16,2,0,0,0,1,1,"('gas station', 'location'); ('men', 'person')",,,,"('gas station', 'gen')","('gas station', 'men')"
17,2,4,4,12,3,3,"('garza', 'person'); ('interstate 35', 'routes')","('interaredo, texas', 'location'); ('intered states', 'location'); ('unitended-cab dodge pickup truck', 'means_of_transportation'); ('unitorder patrol checkpoint', 'location')","('border patrol checkpoint', 'location'); ('extended-cab dodge pickup truck', 'means_of_transportation'); ('laredo, texas', 'location'); ('united states', 'location')","('border patrol checkpoint', 'extended-cab dodge pickup truck'); ('border patrol checkpoint', 'garza'); ('border patrol checkpoint', 'interstate 35'); ('border patrol checkpoint', 'laredo, texas'); ('border patrol checkpoint', 'united states'); ('extended-cab dodge pickup truck', 'garza'); ('extended-cab dodge pickup truck', 'united states'); ('garza', 'interstate 35'); ('garza', 'laredo, texas'); ('interstate 35', 'laredo, texas'); ('interstate 35', 'united states'); ('laredo, texas', 'united states')","('bended-cab dodge pickup truck', 'laredo, texas'); ('extarza', 'united states'); ('extended-cab dodge pickup truck', 'lstate 35')","('extended-cab dodge pickup truck', 'interstate 35'); ('extended-cab dodge pickup truck', 'laredo, texas'); ('garza', 'united states')"
18,3,0,0,2,1,1,"('el paso, texas', 'location'); ('juarez, mexico', 'location'); ('united states', 'location')",,,"('el paso, texas', 'united states'); ('juarez, mexico', 'united states')","('el paso, texas', 'unituarez, mexico')","('el paso, texas', 'juarez, mexico')"
19,1,0,0,0,0,0,"('pacheco', 'person')",,,,,
20,1,0,3,4,0,1,"('agents', 'person')",,"('illegal aliens', 'person'); ('munoz-martinez', 'person'); ('truck', 'means_of_transportation')","('agents', 'illegal aliens'); ('agents', 'truck'); ('illegal aliens', 'munoz-martinez'); ('illegal aliens', 'truck')",,"('munoz-martinez', 'truck')"
21,1,1,2,3,0,0,"('28 people', 'person')","('usbp agorganization', 'u.s. border patrol agents who assisted in the arrest of 28 people during two separate incursions along the california coastline)


(""entity""')","('california coastline', 'location'); ('usbp', 'organization')","('28 people', 'california coastline'); ('28 people', 'usbp'); ('california coastline', 'usbp')",,
22,4,1,1,9,0,1,"('nine people', 'person'); ('oceanside', 'location'); ('pleasure craft', 'means_of_transportation'); ('usbp agents', 'person')","('united states coast guard', 'uscg)')","('united states coast guard (uscg)', 'organization')","('nine people', 'oceanside'); ('nine people', 'pleasure craft'); ('nine people', 'united states coast guard (uscg)'); ('nine people', 'usbp agents'); ('oceanside', 'pleasure craft'); ('oceanside', 'united states coast guard (uscg)'); ('oceanside', 'usbp agents'); ('pleasure craft', 'united states coast guard (uscg)'); ('united states coast guard (uscg)', 'usbp agents')",,"('pleasure craft', 'usbp agents')"
23,0,2,2,1,0,0,,"('alien', 'person'); ('law enforcement', 'personanization')","('aliens', 'person'); ('law enforcement', 'organization')","('aliens', 'law enforcement')",,
