Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,0,1,1,0,0,0,,"('zhivargo mccbride', 'person')","('zhivargo mcbride', 'person')",,,
2,2,0,0,1,0,0,"('captives', 'person'); ('defendants', 'person')",,,"('captives', 'defendants')",,
3,4,1,1,3,2,2,"('sheriff's deputies', 'person'); ('swami's beach', 'location'); ('u.s. border patrol', 'organization'); ('u.s. border patrol agents', 'person')","('swheriff's deput', 'organization')","('sheriff's department', 'organization')","('sheriff's deputies', 'u.s. border patrol agents'); ('swami's beach', 'u.s. border patrol agents'); ('u.s. border patrol', 'u.s. border patrol agents')","('sheriff's deputies', 'uami's beach'); ('sheriff's deputies', 'uheriff's department')","('sheriff's department', 'sheriff's deputies'); ('sheriff's deputies', 'swami's beach')"
4,1,2,3,1,2,4,"('laredo south station', 'location')","('banch hand', 'person'); ('ben', 'person')","('aliens', 'person'); ('la moca ranch', 'location'); ('ranch hand', 'person')","('aliens', 'ranch hand')","('aliaredo south station', 'la moca ranch'); ('laaredo south station', 'ranch hand')","('aliens', 'la moca ranch'); ('la moca ranch', 'laredo south station'); ('la moca ranch', 'ranch hand'); ('laredo south station', 'ranch hand')"
5,4,0,0,6,0,0,"('china', 'location'); ('fu mei chen', 'person'); ('guatemala', 'location'); ('ship', 'means_of_transportation')",,,"('china', 'fu mei chen'); ('china', 'guatemala'); ('china', 'ship'); ('fu mei chen', 'guatemala'); ('fu mei chen', 'ship'); ('guatemala', 'ship')",,
6,0,1,2,1,0,0,,"('bens', 'person')","('aliens', 'person'); ('allende-garcia', 'person')","('aliens', 'allende-garcia')",,
7,4,0,0,1,2,2,"('cars', 'means_of_transportation'); ('co-defendants', 'person'); ('defendant', 'person'); ('individuals', 'person')",,,"('co-defendants', 'individuals')","('cars', 'defividuals'); ('coividuals', 'defendant')","('cars', 'individuals'); ('defendant', 'individuals')"
8,1,1,1,0,0,1,"('child's real mother', 'person')","('child's real mother', 'defendant's sister')","('defendant's sister', 'person')",,,"('child's real mother', 'defendant's sister')"
9,4,0,0,5,1,1,"('hernandez-lopez', 'person'); ('mexico', 'location'); ('united states', 'location'); ('unnamed person', 'person')",,,"('hernandez-lopez', 'mexico'); ('hernandez-lopez', 'unnamed person'); ('mexico', 'united states'); ('mexico', 'unnamed person'); ('united states', 'unnamed person')","('united states', 'unnandez-lopez')","('hernandez-lopez', 'united states')"
10,2,0,0,0,0,1,"('i-35', 'routes'); ('truck', 'means_of_transportation')",,,,,"('i-35', 'truck')"
11,2,1,1,2,0,1,"('mr. yang', 'person'); ('united states', 'location')","('mr. yang', 'family')","('mr. yang's family', 'person')","('mr. yang', 'mr. yang's family'); ('mr. yang', 'united states')",,"('mr. yang's family', 'united states')"
12,2,1,1,2,0,1,"('garcia', 'person'); ('san antonio', 'location')","('groupen', 'person')","('aliens', 'person')","('aliens', 'garcia'); ('garcia', 'san antonio')",,"('aliens', 'san antonio')"
13,0,2,2,0,0,1,,"('g', 'location'); ('house', 'gun')","('gun', 'smuggled_items'); ('house', 'location')",,,"('gun', 'house')"
14,5,0,0,10,0,0,"('abraham esqueda', 'person'); ('interstate highway 35', 'routes'); ('laredo', 'location'); ('san antonio', 'location'); ('victor barberena', 'person')",,,"('abraham esqueda', 'interstate highway 35'); ('abraham esqueda', 'laredo'); ('abraham esqueda', 'san antonio'); ('abraham esqueda', 'victor barberena'); ('interstate highway 35', 'laredo'); ('interstate highway 35', 'san antonio'); ('interstate highway 35', 'victor barberena'); ('laredo', 'san antonio'); ('laredo', 'victor barberena'); ('san antonio', 'victor barberena')",,
15,3,0,2,6,0,4,"('border patrol agents', 'person'); ('commercial gravel pit', 'location'); ('mines road', 'routes')",,"('1982 ford f-150 extended cab pickup truck', 'means_of_transportation'); ('laredo, texas', 'location')","('1982 ford f-150 extended cab pickup truck', 'border patrol agents'); ('border patrol agents', 'laredo, texas'); ('border patrol agents', 'mines road'); ('commercial gravel pit', 'laredo, texas'); ('commercial gravel pit', 'mines road'); ('laredo, texas', 'mines road')",,"('1982 ford f-150 extended cab pickup truck', 'commercial gravel pit'); ('1982 ford f-150 extended cab pickup truck', 'laredo, texas'); ('1982 ford f-150 extended cab pickup truck', 'mines road'); ('border patrol agents', 'commercial gravel pit')"
16,2,0,0,0,1,1,"('gas station', 'location'); ('men', 'person')",,,,"('gas station', 'gen')","('gas station', 'men')"
17,4,2,2,12,3,3,"('extended-cab dodge pickup truck', 'means_of_transportation'); ('garza', 'person'); ('interstate 35', 'routes'); ('laredo, texas', 'location')","('intered states', 'location'); ('unitorder patrol checkpoint', 'location')","('border patrol checkpoint', 'location'); ('united states', 'location')","('border patrol checkpoint', 'extended-cab dodge pickup truck'); ('border patrol checkpoint', 'garza'); ('border patrol checkpoint', 'interstate 35'); ('border patrol checkpoint', 'laredo, texas'); ('border patrol checkpoint', 'united states'); ('extended-cab dodge pickup truck', 'garza'); ('garza', 'interstate 35'); ('garza', 'laredo, texas'); ('garza', 'united states'); ('interstate 35', 'laredo, texas'); ('interstate 35', 'united states'); ('laredo, texas', 'united states')","('bended-cab dodge pickup truck', 'laredo, texas'); ('bended-cab dodge pickup truck', 'lstate 35'); ('bended-cab dodge pickup truck', 'united states')","('extended-cab dodge pickup truck', 'interstate 35'); ('extended-cab dodge pickup truck', 'laredo, texas'); ('extended-cab dodge pickup truck', 'united states')"
18,3,0,0,3,0,0,"('el paso, texas', 'location'); ('juarez, mexico', 'location'); ('united states', 'location')",,,"('el paso, texas', 'juarez, mexico'); ('el paso, texas', 'united states'); ('juarez, mexico', 'united states')",,
19,1,0,0,0,0,0,"('pacheco', 'person')",,,,,
20,2,0,2,3,0,2,"('agents', 'person'); ('illegal aliens', 'person')",,"('munoz-martinez', 'person'); ('truck', 'means_of_transportation')","('agents', 'illegal aliens'); ('agents', 'truck'); ('illegal aliens', 'munoz-martinez')",,"('illegal aliens', 'truck'); ('munoz-martinez', 'truck')"
21,0,2,3,1,1,2,,"('pe people', 'person'); ('up agorganization', 'u.s. border patrol whose who assisted in the arrest of 28 people during two separate incursions along the california coastline)


(""entity""')","('28 people', 'person'); ('california coastline', 'location'); ('usbp', 'organization')","('28 people', 'usbp')","('28ifornia coastline', 'usbp')","('28 people', 'california coastline'); ('california coastline', 'usbp')"
22,4,1,1,9,1,1,"('nine people', 'person'); ('oceanside', 'location'); ('pleasure craft', 'means_of_transportation'); ('usbp agents', 'person')","('united states coast guard', 'uscg)')","('united states coast guard (uscg)', 'organization')","('nine people', 'oceanside'); ('nine people', 'pleasure craft'); ('nine people', 'united states coast guard (uscg)'); ('oceanside', 'pleasure craft'); ('oceanside', 'united states coast guard (uscg)'); ('oceanside', 'usbp agents'); ('pleasure craft', 'united states coast guard (uscg)'); ('pleasure craft', 'usbp agents'); ('united states coast guard (uscg)', 'usbp agents')","('oine people', 'usbp agents')","('nine people', 'usbp agents')"
23,0,3,2,0,0,1,,"('aliens', 'law enforcement'); ('aliens', 'sm'); ('law enforcement', 'personanization')","('aliens', 'person'); ('law enforcement', 'organization')",,,"('aliens', 'law enforcement')"
24,1,3,4,9,1,1,"('air and marine operations (amo)', 'organization')","('jint hazor operations center (jhoc)', 'organization'); ('s diego, california', 'location'); ('s-foot bayliner pleasure craft', 'means_of_transportation')","('24-foot bayliner pleasure craft', 'means_of_transportation'); ('california', 'location'); ('joint harbor operations center (jhoc)', 'organization'); ('san diego, california', 'location')","('24-foot bayliner pleasure craft', 'air and marine operations (amo)'); ('24-foot bayliner pleasure craft', 'california'); ('24-foot bayliner pleasure craft', 'joint harbor operations center (jhoc)'); ('24-foot bayliner pleasure craft', 'san diego, california'); ('air and marine operations (amo)', 'california'); ('air and marine operations (amo)', 'san diego, california'); ('california', 'joint harbor operations center (jhoc)'); ('california', 'san diego, california'); ('joint harbor operations center (jhoc)', 'san diego, california')","('location', 'sifornia')","('air and marine operations (amo)', 'joint harbor operations center (jhoc)')"
25,3,1,1,6,0,0,"('isla clarión, mexico', 'location'); ('mexican navy', 'organization'); ('speedboat', 'means_of_transportation')","('is seas', 'location')","('high seas', 'location')","('high seas', 'isla clarión, mexico'); ('high seas', 'mexican navy'); ('high seas', 'speedboat'); ('isla clarión, mexico', 'mexican navy'); ('isla clarión, mexico', 'speedboat'); ('mexican navy', 'speedboat')",,
26,1,3,3,3,1,3,"('durant', 'person')","('20ailer', 'means_of_transportation'); ('20ens', 'person'); ('20uck', 'means_of_transportation')","('aliens', 'person'); ('trailer', 'means_of_transportation'); ('truck', 'means_of_transportation')","('aliens', 'durant'); ('durant', 'truck'); ('trailer', 'truck')","('aliens', 'trucker')","('aliens', 'trailer'); ('aliens', 'truck'); ('durant', 'trailer')"
27,4,1,1,8,1,2,"('china', 'location'); ('defendant', 'person'); ('miss fu mei chen', 'person'); ('united states', 'location')","('misss', 'person')","('others', 'person')","('china', 'defendant'); ('china', 'miss fu mei chen'); ('china', 'others'); ('defendant', 'others'); ('defendant', 'united states'); ('miss fu mei chen', 'others'); ('miss fu mei chen', 'united states'); ('others', 'united states')","('united states', 'unitina')","('china', 'united states'); ('defendant', 'miss fu mei chen')"
28,3,0,1,4,0,2,"('32 migrants', 'person'); ('antonio hurtado', 'person'); ('three people', 'person')",,"('doomed vessel', 'means_of_transportation')","('32 migrants', 'doomed vessel'); ('32 migrants', 'three people'); ('antonio hurtado', 'doomed vessel'); ('antonio hurtado', 'three people')",,"('32 migrants', 'antonio hurtado'); ('doomed vessel', 'three people')"
29,5,2,2,19,0,2,"('aliens', 'person'); ('haiti', 'location'); ('sri lanka', 'location'); ('turks and caicos islands', 'location'); ('united states', 'location')","('b bahamas', 'location'); ('chlliah', 'person')","('chelliah', 'person'); ('the bahamas', 'location')","('aliens', 'chelliah'); ('aliens', 'haiti'); ('aliens', 'sri lanka'); ('aliens', 'the bahamas'); ('aliens', 'united states'); ('chelliah', 'sri lanka'); ('chelliah', 'the bahamas'); ('chelliah', 'turks and caicos islands'); ('chelliah', 'united states'); ('haiti', 'sri lanka'); ('haiti', 'the bahamas'); ('haiti', 'turks and caicos islands'); ('haiti', 'united states'); ('sri lanka', 'the bahamas'); ('sri lanka', 'turks and caicos islands'); ('sri lanka', 'united states'); ('the bahamas', 'turks and caicos islands'); ('the bahamas', 'united states'); ('turks and caicos islands', 'united states')",,"('aliens', 'turks and caicos islands'); ('chelliah', 'haiti')"
